구별,cctv댓수,최근증가율,인구수,내국인,외국인,고령자,외국인비율,고령자비율
종로구,1715,48.51485148514851,153789,144683,9106,27818,,
중구,2447,97.51351351351352,131787,122499,9288,24392,,
용산구,2611,105.42713567839196,237285,222953,14332,39070,,
성동구,3829,83.25272067714631,292672,285990,6682,46380,,
광진구,3211,133.59683794466403,352627,339996,12631,51723,,
동대문구,2628,36.706689536878216,352006,337400,14606,62211,,
중랑구,3737,421.2890625,391885,387350,4535,71682,,
성북구,4602,90.12285012285012,440142,430528,9614,74709,,
강북구,3090,456.98924731182797,302563,299182,3381,64333,,
도봉구,1930,108.26010544815466,319373,317366,2007,64160,,
노원구,2492,84.13855970829535,514946,510956,3990,88345,,
은평구,4131,122.29771463866584,477173,473307,3866,87241,,
서대문구,3055,118.56796116504854,315659,304819,10840,54268,,
마포구,2496,102.28070175438596,378686,368905,9781,54582,,
양천구,3650,108.25488776249095,450487,447302,3185,68627,,
강서구,2744,99.72093023255815,579768,574315,5453,92558,,
구로구,4608,101.2112036336109,421163,396754,24409,72611,,
금천구,2411,184.28571428571428,244891,230811,14080,41041,,
영등포구,4056,217.28395061728395,400908,376837,24071,62516,,
동작구,2306,90.12987012987013,394364,385483,8881,66613,,
관악구,5149,67.85411365564038,499449,485699,13750,79871,,
서초구,4082,54.61644464859899,416167,412279,3888,60678,,
강남구,6871,66.7027905716608,537800,533042,4758,78226,,
송파구,2897,258.24022346368713,663965,658338,5627,97691,,
강동구,2809,198.67256637168143,466472,462664,3808,74070,,
