mean,min,max
2384.076923076923,2232,2789
2288.1,1959,2794
2243.5,2049,2438
2131.848484848485,1977,2548
2072.9285714285716,1969,2298
2070.470588235294,1898,2328
2047.96875,1904,2497
2035.4615384615386,1946,2428
2030.5714285714287,1919,2448
2020.0,1968,2298
2004.2142857142858,1949,2087
2004.1333333333334,1935,2198
2003.6,1964,2135
1994.8125,1965,2178
1984.15625,1902,2348
1981.6666666666667,1960,2059
1979.125,1958,2025
1977.1052631578948,1935,2190
1970.2857142857142,1945,2069
1969.2083333333333,1935,2099
1965.5714285714287,1937,2048
1965.25,1945,2037
1960.4615384615386,1934,2039
1955.96,1902,2197
1951.3636363636363,1935,1970
