순위,제목,저자,역자,출판사,쪽수,발행일,가격
1,저주토끼,정보라,-,아작,328,20220401,13320
2,불편한 편의점(40만부 기념 벚꽃 에디션),김호연,-,나무옆의자,268,20210420,12600
3,긴긴밤,루리,-,문학동네,144,20210203,10350
4,럭키(10만부 기념 황금열쇠 양장 특별판),김도윤,-,북로망스,280,20210825,14400
5,가불 선진국,조국,-,메디치미디어,232,20220325,14400
6,김학렬의 부동산 투자 절대 원칙,김학렬(빠숑),-,에프엔미디어,540,20220412,22500
6,꽃샘바람에 흔들린다면 너는 꽃,류시화,-,수오서재,160,20220411,12150
6,웰씽킹(10만 부 기념 한정판 골드 에디션),켈리 최,-,다산북스,316,20211110,14400
9,파이어 FIRE,강환국,-,페이지2북스,428,20220408,16200
10,파이어족 강환국의 하면 된다! 퀀트 투자,강환국,-,에프엔미디어,392,20210915,16830
11,나는 3학년 2반 7번 애벌레,김원아,-,창비,104,20160411,8100
12,ETS 토익 정기시험 기출문제집 1000 Vol 3 READING(리딩),ETS,-,YBM,216,20211213,16020
13,"어서 오세요, 휴남동 서점입니다",황보름,-,클레이하우스,364,20220117,13500
13,물고기는 존재하지 않는다,룰루 밀러,정지인,곰출판,300,20211217,15300
13,긴긴밤(큰 판형),루리,-,문학동네,152,20211215,16200
