날짜,종가,시가,고가,저가,거래량
2022.05.03,"68,000","67,400","68,400","67,300","11,505,729"
2022.05.02,"67,300","66,600","67,600","66,500","14,106,184"
2022.04.29,"67,400","65,100","67,600","65,000","26,190,390"
2022.04.28,"64,800","65,400","65,500","64,500","16,895,527"
2022.04.27,"65,000","65,400","65,500","64,900","18,122,084"
2022.04.26,"66,100","66,400","66,700","66,100","12,946,923"
2022.04.25,"66,300","66,500","66,700","66,300","11,016,474"
2022.04.22,"67,000","67,200","67,300","66,700","11,791,478"
2022.04.21,"67,700","67,600","68,300","67,500","12,847,448"
2022.04.20,"67,400","67,000","67,400","66,500","16,693,293"
